e3ligase,substrate
ITCH,GLI1;LATS1;LAPTM5;DVL2;POU5F1;NFE2;SNX9;SMAD2;TP73;MAP2K4;TXNIP;CPSF6;BCL10;BID;ERBB4;NEDD9;ITCH;NOTCH1;TP63;KLF10;MLANA;CFLAR;JUNB;JUN;EGFR;TRPV4;CBL;CXCR4;INPPL1;TGIF1;RIPK2;SH3GLB1;NOTCH3;RIPK1;PLCG1;FYN;HGS;MAVS;MAP3K7;DTX1;BRAT1;DDX5;OCLN;SH3GL2;TRPC4;PLIN1;PLIN2;BIRC2;GLIS3;PI4K2A;SMAD7;PTCH1;FOXO1;H1-2;BRAF;TAB1;RASSF5;SUFU;CD247;ERBB3;LRP6;ITSN1;YAP1;AMOT
RICTOR,SGK1
SOCS6,KIT
UBR5,CDK9;NR1I2;TOPBP1;PAIP2;PCK1;PPP2CA
RNF31,TRIM25;IKBKG;TRAF1;PRKCB;PRKCA;NR0B1;RIPK1;DDX58;CASP1
MPG,UBE2D1;IGBP1;PTPA;STK36;PPP2CA;PRM2;PPP2CB;HMG20B
TRIM13,MDM2;AKT1;VCP;CD3D;AKT2;TRIM13
PJA2,PRKAR1A;PRKAR2A;PJA2;PRKAR1B;PRKAR2B
RNF20,H2BC21;PA2G4;H2BC1;H2BC8
PJA1,EZH2;MAGED1;ELF1;SMAD3;SUZ12
FBXL15,SMURF1;SMURF2;WWP2
SPOP,NCOA3;DEK;KCNH2;HDAC6;DAXX;ESR1;BMI1;JUN;MACROH2A1;GLI1;AR;PTEN;BRMS1;PDHX;GLI2;GLI3;SETD2;INF2;NANOG;CDC20;BRD2;BRD4;DUSP6;TRIM24;BRD3;CCNE1;ZBTB3;ILF3;FASN;DUSP7;GLYR1;PGR
MUL1,TP53;AKT1;ULK1;TP73;DNM1L;MUL1
TRIM32,XIAP;STING1;MYCN;PIAS4;DTNBP1;PIAS3;TRIM32;MYC;ABI2;BBS2;DBNDD1;DES;SQSTM1
FBXW5,SASS6;EPS8;DLEC1;TSC2
MSL2,H2BC21;TP53;H2BC8
RNF146,XRCC1;XRCC6;AXIN1;AXIN2;BLZF1;CASC3;TNKS;TNKS2;PARP1
SKP2,FOXO3;ESR1;RND3;BRCA1;CDH1;CCNA2;ORC1;TCF7L1;MEFV;PHB;BRCA2;NBN;AKT1;JAK3;SIRT3;BTRC;CDT1;CDKN1B;RBL2;CDKN1A;CDKN1C;RAG2;ELF4;CCNE1;RASSF1;TAL1;MYC;CTNNB1;USP18;BTG2;FOXO1;PSMD9;CCND1;CDK9;TOB1;FGD1;NFKBIA;NFKBIE;KMT2A;SMAD4;SPDYA;SKP2;DUSP1;RB1;E2F1;MYBL2;ING3;TP53;SIPA1;CDK8;NKX3-1;CARM1;NUDT1;YAP1;TWIST1;PDCD4;RRAGA;CYGB;BORA;AKT2;STK11;BCR/ABL
MIB1,TBK1;BLM;JAG1;DLL1;DAPK1;MIB1;DLL3;DLL4;CEP131;CEP290;PCM1;EDAR;SMN2
BIRC2,RIPK2;RIPK3;RIPK4;RAC1;PCSK9;PGAM5;IKBKE;PACS2;CSE1L;MXD1;IKBKG;TANK;DIABLO;RIPK1;CASP3;CASP7;MAD1L1;TRAF1;MAP3K5;MAP3K14;TRAF3;TRAF6;CASP8;TRAF2;BIRC2
XIAP,RIPK4;AIFM1;SEPTIN4;TLE3;XAF1;PGAM5;RIPK2;MAP3K3;MAP3K2;CASP9;DIABLO;PTEN;COMMD1;MAP3K7;CASP3;RAF1;XIAP;AIF1;CASP7;CASP8;CCS;BIRC5;TLE1;TLE2;TLE4;TLE5
UHRF2,CCND1;CCNE1;PCNP
SOCS2,GHR;SOCS3;SOCS1
RCHY1,TP73;TP63;CHEK2;COPE;SRPRB;TP53;CDKN1B;POLH;GORAB;HDAC1;SRP9;POLQ
HACE1,RAC1;OPTN;CCND1;RARA;RARB;GOLM1
TRIM8,MAP3K7;SOCS1
FBXO11,BCL6;DTL;TP53;PRDM1
NHLRC1,DVL2;EPM2A;PPP1R3C;AGL
RNF8,CHEK2;NBN;BLM;PCNA;H2AX;H2AC1;RNF8;H2AC17;KDM4A;XRCC5;POLD4;H2AC20;H2AC21;H2BC1;OTUB1;TPP1;PML
FBXL2,CCND2;APP;AURKB;PIK3R2;NLRP3;CCND3;PCYT1A
UBR2,H2AC20;H2AC17
LNX1,PBK;GRIN1;KCNA4;CLDN17;GIPR;PQBP1;HTR2B;NUMB;SRC;ZBTB8A;CD8A;RSL1D1
RNF13,SNAPIN;RNF13
RNF43,FZD5;AKAP8L;RNF43
MARCHF8,IL1RAP;HLA-DRB1;HLA-DRA;CD86;HLA-DRB5;ATXN3;SOD1;CD74;CYP3A4;TFRC;FASN;HLA-DRB4;CIITA;HLA-DRB3;SLC3A2
TOPORS,H2AX;TP53;NKX3-1
FBXL22,ACTN2;FLNC
RNF126,CDKN1A;AICDA;EGFR;FLT3;MET;CXCR4
PELI3,TRAF6;RIPK2;IRAK1
DDB1,TP73;COPS5;CCNK;NR5A2
FBXO44,BRCA1;UNC13A
TRIM39,TP53;MOAP1
PPARG,RELA;MUC1
DYRK2,TERT
KLHL3,WNK1;WNK4
RNF115,EGFR;RNF115;FLT3;MET;CXCR4
KLHL22,PLK1;DEPDC5
SIVA1,CDKN2A
RNF111,SUMO2;SKIL;SMAD7;SKI;PML;SMAD3;SMAD2
ING4,RELA
TRIP12,SOX6;NAE1;CDKN2A;SMARCE1;ARFGAP1
TRIM49,BLM
KLHL2,WNK4;NPTXR;WNK1;WNK3
TRAF4,SMURF2
RNF38,TP53
AMBRA1,BECN1
RHOBTB3,CCNE1
HERC1,SOX9;TSC2
FBXL5,SNAI1;ABL1;IREB2;DCTN1;NABP2
SOCS4,DAB1
COP1,CCT4;CDKN1B;ACACB;CRTC2;COP1;ACACA;SFN;MMP1;JUN;CTNNB1;STAT3;MTA1;TP53;ETV1;ETV4;ETV5
MEX3B,SNUPN
ASB11,RPN1
SOCS3,JAK2;IL6ST;IRS1;IRS2;SIGLEC7
KLHL20,PML;DAPK1;CORO7;ARHGEF11;ULK1;PIK3C3;BECN1
ASB4,ID2
TRIM71,LIN28B
RLIM,STMN1;MDM2;TERF1;LIMK1;HDAC2;LDB2;LDB1;ZFP42;LMO2;LHX3;LHX2;RLIM;LMO4
FBXO15,CRLS1;ABCB1
RNF185,DVL2;NUDT16L1;BNIP1;CFTR
TRIM65,TNRC6A;ARHGAP35
TRIM25,AMFR;ESR1;DDX58;TRIM25;SFN;ZFHX3;KLF5;MAVS
FBXO31,CDT1;MDM2;PARD6A;CCND1;CCND2;MAP2K6
MARCHF7,MAPT;MARCHF7
RNF144A,PRKDC
FBXO45,PAWR;TP73;ZEB1;ZEB2;SNAI1;SNAI2;TWIST1
RNF34,NOD1;TP53;CASP8;CASP10;RIPK1;PPARGC1A
TRIM33,DHX33;CTNNB1;SMAD4
