e3ligase,substrate
RNF111,SKIL;SMAD7;SKI;SUMO2;PML;SMAD3;SMAD2
TRIM21,IRF8;USP4;IKBKB;CDKN1B;TRIM5;TRIM21;IRF3;CDT1;IRF7;RELA
SIAH2,PIAS1;SNCA;AKAP1;EGLN1;PML;POU2AF1;TRAF2;DCC;EGLN3;PPP1R12A;NCOR1;SYP;PLCE1;TP53;SPRY2;KIF15;SH3KBP1;PSMD4;TINF2;TP53BP2;CHEK2;BAG1;DYRK2;TANK;SNCAIP;HDAC3;CDKN1B;HIF1A;PPARG;AR;LATS2;EGLN2;ZEB1
TRIM25,ESR1;DDX58;TRIM25;SFN;AMFR;ZFHX3;KLF5;MAVS
TRAF6,IKBKG;MAP3K7;NTRK1;MALT1;AKT1;IRF7;NR2C2;RIPK2;TRAF6;PARK7;SNCA;NGFR;RUSC1;FHL2;BECN1;MAP3K11;HSPA4;PINK1;MTOR;LGMN;IRAK1;TGFBR1;AKT2;ITGB3BP;IRF5;TICAM1;LAT;PSEN1;ECSIT;MAP1LC3B;CTNNB1
SYVN1,GPR37;TP53;ERN1;HMGCR;MAPT;TTN;NCSTN;CLU;HTT;SGK1;SYVN1;AMFR;APP;SLC6A4;CLUAP1;PACRG;SERPINA1;CD3D
VPS18,GGA3;PLK2
RNF220,SIN3B;RNF220
SMURF1,SMAD1;RHOA;SMAD5;SMAD7;TRAF4;USP5;MAP3K2;SPG20;C9orf78;FAM188A;FGR;PRKCA;CTTN;ZFAND5;ANKRD13D;ANKS4B;EPHA1;FES;GDF15;HIP1;PRKCG;MAP3K9;NEK2;RNF114;TNIP2;TOM1;RUNX2;ANKRD13A;ANXA6;CUEDC1;LCK;SCYL1;ODF2;PDGFRA;TNIK;TPM4;UBE2V1;CSNK2A2;ELOF1;IMPACT;MSN;OTUD6B;PICALM;CALCOCO1;TRIP10;EPN1;CSNK1D;PRKCI;MAP3K10;PADI4;PSMD4;ANKRD50;RABEP2;RAC1;RAD23A;RIOK3;TBK1;TGFBR1;UBQLN2;ADRBK2;ASCC2;C7orf50;FGF12;FKBP3;KRT36;SLAIN2;ADRM1;ATXN3;BTK;C6orf106;FAF2;HOMER2;MATK;TAOK3;TOM1L2;UBAC1;UBE2K;UBQLN1;UBXN6;PRR16;CCDC69;ITK;MAP4K5;MARK2;SDCCAG3;SMAD6;TAB1;UBE2G1;RBCK1;TLN1;ING2;AXIN1;TRIB2;MAVS;SPART;MINDY3;GRK3;ILRUN;ENTR1;TBX6;TGFBR2;BMPR2;BMPR1A;BMPR1B;UBE2D1;UBE2D3;KLF2;UVRAG
WWP1,KLF5;ERBB4;TP63;SMAD6;TGFBR1;RUNX2;RNF11;TP53;WWP1;SPG20;KLF2;SMAD7;SMAD2;SPART;TGFBR2;CXCR4;LATS1;TRAF6;EPS15;SMAD4;PTEN;CDKN1B
NHLRC1,EPM2A;PPP1R3C;AGL;DVL2
TNFAIP3,RIPK1;TNFAIP3
TOPORS,TP53;NKX3-1;H2AFX;H2AX
